caseid,weight,fin_cf,rate_econ,have_house,thi_dis,edu,race,worse_fin_cf,higher_thi_dis
138,23602.084,1,1,3,1,2,1,1,1
139,12225.056,3,2,2,3,3,1,0,0
140,12641.871,3,2,3,3,4,1,0,0
141,10151.149,3,2,1,2,4,1,0,1
142,32228.24,2,2,1,2,2,3,1,1
143,10965.274,3,3,2,2,4,2,0,1
144,16200.378,2,1,2,3,3,1,1,0
145,13758.059,4,1,2,3,2,1,0,0
146,17903.535,3,1,2,3,2,1,0,0
147,22087.861,3,2,4,3,4,4,0,0
149,15954.883,3,3,2,3,3,2,0,0
150,36936.91,5,2,2,3,2,3,0,0
151,20771.986,2,2,1,3,4,3,1,0
152,13704.39,3,3,1,3,3,1,0,0
153,18215.834,5,3,1,1,4,1,0,1
154,16098.93,3,1,3,3,2,1,0,0
155,10965.495,3,2,2,1,4,1,0,1
156,29857.807,3,2,2,3,2,1,0,0
157,4064.5996,3,2,2,2,4,5,0,1
158,13164.094,3,2,1,2,4,3,0,1
159,14149.361,2,1,1,3,3,1,1,0
160,14981.713,1,1,3,3,2,1,1,0
161,21883.508,4,2,1,3,4,1,0,0
162,3666.6387,2,1,2,2,4,5,1,1
163,19917.973,2,1,2,3,4,1,1,0
164,6774.3701,2,1,2,3,4,1,1,0
165,13992.727,3,2,2,3,3,1,0,0
166,17215.234,2,2,1,3,2,1,1,0
167,14104.097,2,1,2,3,3,1,1,0
168,20846.656,3,3,2,2,4,1,0,1
169,23443.414,3,2,3,3,2,1,0,0
170,19771.826,2,2,2,2,3,1,1,1
171,16899.523,3,3,1,3,4,1,0,0
173,20185.445,2,2,1,2,4,4,1,1
174,12953.565,4,1,2,3,3,1,0,0
175,13289.896,2,2,3,2,4,1,1,1
176,15923.669,2,1,1,3,2,1,1,0
177,11881.049,3,2,2,3,4,1,0,0
178,16361.154,3,3,1,3,3,1,0,0
180,31689.74,2,2,1,3,2,1,1,0
181,16705.389,3,2,1,1,3,1,0,1
182,16098.93,3,1,1,3,2,1,0,0
183,24781.555,3,1,1,3,3,1,0,0
184,11435.657,3,1,2,3,4,3,0,0
185,15051.257,3,1,1,3,2,1,0,0
186,21279.854,4,1,3,1,4,1,0,1
187,29627.463,3,2,1,3,2,1,0,0
188,19493.889,3,2,1,1,4,1,0,1
189,16258.698,2,3,1,2,2,1,1,1
190,16853.383,2,1,4,3,4,1,1,0
191,16705.389,2,2,2,1,3,1,1,1
192,20472.328,2,3,2,4,2,1,1,0
193,49160.215,4,2,1,3,2,2,0,0
194,32659.641,3,2,1,4,3,1,0,0
195,14140.936,3,1,4,3,4,1,0,0
196,36661.527,4,2,3,3,2,1,0,0
197,7723.2212,2,2,2,3,4,1,1,0
198,21983.541,5,2,1,3,3,1,0,0
199,17215.234,3,3,2,3,2,1,0,0
200,17443.76,1,1,2,3,4,1,1,0
201,14001.978,2,1,1,3,4,1,1,0
203,16705.389,2,2,2,3,3,1,1,0
204,26726.654,3,2,1,3,3,1,0,0
205,23922.635,4,2,1,3,4,1,0,0
206,13992.727,2,1,2,2,3,1,1,1
207,28220.641,2,1,1,4,4,1,1,0
208,16899.523,1,1,1,3,4,1,1,0
209,16860.326,3,2,2,2,2,1,0,1
210,13294.827,2,1,1,3,3,1,1,0
211,15321.62,3,2,1,3,4,1,0,0
212,18596.275,4,2,3,3,2,1,0,0
213,18880.35,3,2,1,3,3,1,0,0
214,17668.77,3,2,1,3,2,1,0,0
215,22146.035,5,2,1,2,4,1,0,1
216,8930.8447,2,2,2,2,4,1,1,1
217,22146.035,3,2,2,3,4,1,0,0
218,22608.561,3,2,1,3,2,1,0,0
219,23429.68,3,2,1,3,4,1,0,0
220,18746.375,3,3,1,2,2,1,0,1
221,10151.149,1,1,1,4,4,1,1,0
222,21306.266,3,1,3,1,2,1,0,1
223,30385.99,2,1,3,3,1,2,1,0
224,27029.389,3,2,1,3,2,1,0,0
225,15092.051,2,2,1,2,4,1,1,1
226,16705.389,2,2,2,3,3,1,1,0
227,22608.561,2,1,1,3,2,1,1,0
228,20481.783,4,2,1,2,4,1,0,1
229,12225.056,3,2,1,5,3,1,0,0
230,27029.389,3,1,2,3,2,1,0,0
231,14052.851,2,1,1,3,4,1,1,0
232,19240.246,3,2,3,2,2,1,0,1
233,19158.898,2,2,2,3,4,4,1,0
234,21793.367,3,3,1,1,4,1,0,1
235,19832.965,3,2,1,3,2,1,0,0
236,19035.096,1,1,4,3,1,1,1,0
237,15644.491,3,1,2,3,4,1,0,0
238,15529.7,3,1,1,3,3,1,0,0
239,19612.475,2,2,2,3,3,1,1,0
240,13289.896,3,2,2,3,4,1,0,0
241,11523.773,2,2,2,3,4,1,1,0
242,28968.035,1,1,3,2,2,1,1,1
243,6372.5698,3,2,2,2,4,5,0,1
244,8930.4961,3,2,2,3,4,1,0,0
245,20051.252,3,2,2,3,2,1,0,0
246,35768.918,2,2,3,3,3,1,1,0
247,29418.299,3,2,3,3,1,1,0,0
248,29175.771,3,2,3,3,1,1,0,0
249,13577.597,3,1,1,3,3,1,0,0
250,20617.813,3,3,1,2,3,1,0,1
251,23413.66,3,3,2,3,3,1,0,0
252,23677.578,1,1,1,3,3,1,1,0
253,22120.082,3,2,3,2,3,2,0,1
254,33835.277,3,1,3,3,2,2,0,0
255,19475.576,2,2,1,3,3,1,1,0
256,27746.488,3,2,2,3,4,1,0,0
257,25296.52,4,1,4,3,3,1,0,0
258,9626.123,3,2,3,2,4,1,0,1
259,21736.516,3,2,3,3,3,3,0,0
260,18558.998,3,2,1,3,3,2,0,0
261,28104.223,2,1,2,3,2,1,1,0
262,6995.186,1,1,1,3,4,5,1,0
263,31748.787,2,3,2,3,2,1,1,0
264,20250.246,2,1,2,3,2,1,1,0
265,37592.434,3,2,1,3,4,4,0,0
266,15529.7,2,2,2,3,3,1,1,0
267,18657.678,3,2,2,3,2,1,0,0
268,27512.641,3,1,1,3,1,1,0,0
269,11325.285,1,1,2,3,3,1,1,0
270,24781.555,4,2,2,3,3,1,0,0
271,9019.4756,3,3,1,3,4,1,0,0
272,20308.889,3,3,1,2,3,1,0,1
273,19843.193,2,3,2,3,3,1,1,0
274,17891.557,3,2,2,2,4,1,0,1
275,14140.936,3,4,2,3,4,1,0,0
276,20891.762,3,2,2,3,3,1,0,0
277,27414.273,2,2,3,3,2,2,1,0
278,28651.277,4,2,1,3,2,1,0,0
279,10305.562,3,1,1,3,4,1,0,0
280,13090.769,2,1,2,3,4,1,1,0
281,10440.352,3,3,4,3,4,1,0,0
282,20117.98,2,1,1,3,3,1,1,0
283,33949.859,2,1,3,3,3,1,1,0
284,13900.407,3,2,2,3,4,1,0,0
285,26130.525,4,2,1,3,4,2,0,0
286,25577.039,3,2,1,3,3,1,0,0
287,15736.043,3,2,2,3,3,1,0,0
288,10649.333,3,2,2,3,3,1,0,0
289,14467.593,3,1,3,3,1,1,0,0
290,37592.434,4,3,2,3,4,4,0,0
291,21053.512,4,3,3,2,1,1,0,1
292,19454.178,3,2,2,3,2,1,0,0
293,10965.495,2,1,2,2,4,1,1,1
294,20254.25,2,1,1,3,3,1,1,0
295,19790.416,4,1,1,3,4,1,0,0
296,17167.285,2,1,1,2,3,2,1,1
297,11703.031,1,1,1,3,4,1,1,0
298,15644.491,3,2,2,2,4,1,0,1
299,13613.973,2,2,1,3,4,1,1,0
300,15321.62,3,2,1,3,4,1,0,0
301,16844.592,1,1,1,1,3,1,1,1
302,15321.62,3,2,1,2,4,1,0,1
303,19501.123,3,2,1,3,3,1,0,0
304,21065.541,4,2,3,3,3,1,0,0
305,16258.698,3,2,2,3,2,1,0,0
306,20699.957,1,2,2,3,2,1,1,0
307,18693.836,4,3,1,3,3,1,0,0
308,30998.709,4,2,1,3,3,1,0,0
309,25685.914,3,2,1,2,4,1,0,1
310,11248.127,3,2,2,3,4,1,0,0
311,18746.375,3,2,1,3,2,1,0,0
312,27765.064,1,2,2,1,2,1,1,1
313,16639.242,4,1,1,2,2,1,0,1
314,15321.62,2,2,3,1,4,1,1,1
315,8441.2197,3,3,2,3,4,1,0,0
316,14004.468,2,2,3,3,4,1,1,0
317,13090.769,3,2,1,2,4,1,0,1
318,38402.09,3,1,4,2,1,3,0,1
319,13207.111,3,1,1,2,4,1,0,1
320,14305.094,4,2,4,3,3,1,0,0
321,21369.193,3,2,3,2,4,1,0,1
322,13763.813,2,1,2,5,4,1,1,0
323,11074.096,1,1,1,3,4,2,1,0
324,13063.843,2,1,2,3,4,1,1,0
325,21793.367,3,2,2,3,4,1,0,0
326,16311.905,2,1,3,3,4,2,1,0
327,14576.279,3,1,1,3,4,1,0,0
328,25652.383,2,1,2,3,3,1,1,0
329,17404.033,3,2,1,3,2,1,0,0
330,10305.562,3,2,1,2,4,1,0,1
331,16705.389,3,2,2,3,3,1,0,0
332,16389.93,2,2,1,3,2,1,1,0
333,15321.62,3,2,1,3,4,1,0,0
334,38224.652,2,3,4,1,1,3,1,1
335,26482.43,2,1,1,3,1,1,1,0
336,12892.278,1,1,2,3,3,1,1,0
337,13090.769,2,2,2,2,4,1,1,1
338,10305.562,3,2,3,1,4,1,0,1
339,24760.41,5,3,3,3,3,2,0,0
340,17027.471,4,2,1,2,3,1,0,1
341,16311.905,2,3,3,3,4,2,1,0
342,43921.594,4,2,4,3,1,3,0,0
343,28383.135,3,2,1,3,2,1,0,0
344,15280.206,4,3,2,3,2,1,0,0
345,27746.488,3,2,2,2,4,1,0,1
346,19790.416,2,2,1,1,4,1,1,1
347,52911.688,3,2,3,3,1,3,0,0
348,21515.83,2,1,1,2,4,1,1,1
349,18932.197,3,2,3,2,3,1,0,1
350,11327.388,2,2,1,3,2,5,1,0
351,22907.008,3,3,3,3,1,1,0,0
352,25291.949,1,2,1,3,3,1,1,0
353,22386.393,2,2,2,3,2,1,1,0
354,20929.551,3,2,2,3,2,1,0,0
355,17339.936,3,3,2,2,2,1,0,1
356,14152.919,4,2,2,3,2,1,0,0
357,46813.563,4,2,3,3,2,1,0,0
358,15051.257,3,1,1,3,2,1,0,0
359,13855.225,4,1,2,3,3,1,0,0
360,19799.367,3,2,1,3,4,2,0,0
361,21434.07,2,1,3,3,1,1,1,0
362,15320.729,2,1,1,2,2,1,1,1
363,47278.148,3,3,3,2,2,1,0,1
364,9118.3916,2,2,2,3,4,1,1,0
365,14140.936,2,2,2,3,4,1,1,0
366,16391.893,5,1,3,3,2,1,0,0
367,17215.98,3,1,3,3,1,5,0,0
368,33035.793,4,2,2,5,2,2,0,0
369,14152.919,3,1,3,3,2,1,0,0
370,13900.407,3,2,4,3,4,1,0,0
371,12233.822,3,3,2,2,3,1,0,1
372,13965.501,3,2,2,3,3,1,0,0
373,8840.1094,3,1,1,3,4,3,0,0
374,49239.547,3,2,3,2,2,2,0,1
375,26467.59,4,3,1,3,4,2,0,0
376,29155.656,2,2,2,3,2,1,1,0
377,14001.978,2,2,1,3,4,1,1,0
378,16705.389,3,2,2,2,3,1,0,1
380,23413.66,2,2,3,3,3,1,1,0
381,15092.051,3,2,1,3,4,1,0,0
382,19818.467,3,2,1,3,1,1,0,0
383,15501.488,5,1,3,3,4,1,0,0
384,14140.936,2,2,2,3,4,1,1,0
385,16899.182,3,2,1,3,4,2,0,0
386,15978.559,2,2,2,3,4,3,1,0
387,22142.684,2,1,2,3,2,1,1,0
388,34885.898,3,2,1,2,2,1,0,1
389,18393.447,3,2,1,3,3,1,0,0
390,19689.164,3,1,2,3,3,1,0,0
391,15882.463,3,3,4,3,4,1,0,0
392,22181.646,4,2,2,3,2,1,0,0
393,19284.402,5,1,1,3,2,1,0,0
394,19475.576,3,1,3,1,3,1,0,1
395,22438.355,2,2,3,1,4,3,1,1
396,26326.199,3,1,1,3,3,1,0,0
397,10305.562,3,3,1,2,4,1,0,1
398,10305.562,1,1,2,3,4,1,1,0
399,19152.551,2,2,2,3,4,1,1,0
400,10857.74,2,1,2,3,4,1,1,0
401,14305.094,3,2,2,3,3,1,0,0
402,15321.62,3,2,1,2,4,1,0,1
403,20089.383,1,1,2,3,3,1,1,0
404,42377.34,3,2,1,3,3,1,0,0
405,24075.734,3,1,3,3,3,4,0,0
406,25043.414,3,1,1,3,3,1,0,0
407,16302.766,3,2,1,3,4,1,0,0
408,15987.947,3,2,3,3,3,1,0,0
409,12868.103,2,2,2,3,4,1,1,0
410,19892.941,3,1,1,3,4,1,0,0
411,16853.383,2,2,2,3,4,1,1,0
412,20481.783,2,2,2,1,4,1,1,1
413,13817.568,2,2,1,3,2,5,1,0
414,53047.699,3,1,1,3,2,2,0,0
415,15898.464,3,2,1,3,4,2,0,0
416,30850.266,3,2,1,3,4,1,0,0
417,16733.457,2,1,3,3,4,1,1,0
418,80826.742,2,1,1,3,1,3,1,0
419,15092.051,3,3,2,3,4,1,0,0
420,16899.523,3,2,2,2,4,1,0,1
421,13090.769,2,1,2,1,4,1,1,1
422,10151.149,4,2,2,3,4,1,0,0
423,15051.257,2,1,1,3,2,1,1,0
424,15231.993,2,3,3,2,3,3,1,1
425,13577.597,3,2,2,3,3,1,0,0
426,13900.407,1,1,3,3,4,1,1,0
427,15051.257,2,1,2,4,2,1,1,0
428,20210.844,3,2,1,3,2,1,0,0
429,29053.539,3,2,1,3,4,2,0,0
430,15321.62,2,3,2,3,4,1,1,0
431,30058.805,2,1,3,2,4,4,1,1
432,23983,3,2,1,3,3,1,0,0
433,12153.106,2,3,1,3,4,1,1,0
434,23983,2,1,2,2,3,1,1,1
435,17477.102,3,3,2,3,2,1,0,0
436,28104.223,3,2,1,3,2,1,0,0
437,32983.762,4,1,1,2,3,1,0,1
438,30850.266,3,2,1,3,4,1,0,0
439,7350.1782,1,1,1,3,4,1,1,0
440,21359.971,3,2,1,3,4,3,0,0
441,29392.945,3,2,4,2,3,3,0,1
442,16140.3,3,2,2,2,4,2,0,1
443,16899.523,3,2,2,2,4,1,0,1
444,8544.126,3,3,3,3,4,1,0,0
445,13374.158,3,2,1,3,3,1,0,0
446,20617.813,3,1,1,3,3,1,0,0
447,25685.914,3,2,1,3,4,1,0,0
448,14052.851,3,2,2,2,4,1,0,1
449,17903.535,1,1,2,3,2,1,1,0
450,13090.769,3,2,2,3,4,1,0,0
451,38436.309,2,1,1,3,1,1,1,0
452,13063.843,3,2,1,1,4,1,0,1
453,6957.7529,4,3,1,3,3,5,0,0
454,11114.651,2,3,3,3,3,5,1,0
455,12570.095,4,2,1,3,4,1,0,0
456,24347.811,3,2,2,2,3,1,0,1
457,30850.266,2,2,1,3,4,1,1,0
458,27746.488,3,3,2,1,4,1,0,1
459,17011.762,3,2,2,3,3,1,0,0
460,9626.123,3,2,3,3,4,1,0,0
461,12111.187,3,1,1,5,2,1,0,0
462,19435.588,3,2,2,3,1,1,0,0
463,19497.338,3,2,3,3,4,3,0,0
464,12969.347,3,3,1,3,2,5,0,0
465,26575.781,3,3,2,3,2,2,0,0
466,16258.698,3,2,1,3,2,1,0,0
467,21756.912,2,1,1,3,4,4,1,0
468,13900.407,3,2,2,3,4,1,0,0
469,19162.689,2,1,2,3,2,1,1,0
470,30186.432,3,3,4,3,2,1,0,0
471,13299.211,4,3,1,2,4,1,0,1
472,13289.896,3,2,1,4,4,1,0,0
473,13090.769,2,2,2,3,4,1,1,0
474,24744.654,3,2,2,3,1,1,0,0
475,21053.512,1,1,2,3,1,1,1,0
476,37119.875,3,1,2,3,2,1,0,0
477,25291.949,3,2,1,2,3,1,0,1
478,14140.936,3,3,2,2,4,1,0,1
479,12641.871,3,2,1,2,4,1,0,1
480,21654.154,4,1,3,1,3,1,0,1
481,12933.652,3,1,2,3,3,1,0,0
482,26472.455,4,2,1,2,3,1,0,1
483,30038.938,4,1,1,3,3,1,0,0
484,17404.033,3,2,2,3,2,1,0,0
485,8930.8447,2,2,2,2,4,1,1,1
486,36242.777,4,2,2,3,2,1,0,0
487,14300.526,2,2,2,3,3,3,1,0
488,17782.682,1,1,3,3,2,1,1,0
489,21579.211,3,2,2,2,4,1,0,1
490,29150.803,3,2,1,2,4,4,0,1
491,20481.783,2,1,1,3,4,1,1,0
492,10965.495,2,1,2,4,4,1,1,0
493,12953.565,3,1,1,3,3,1,0,0
494,23235.17,2,1,3,3,2,2,1,0
495,22386.393,1,1,2,3,2,1,1,0
496,15748.394,1,1,1,3,3,1,1,0
497,27052.039,4,2,1,3,2,1,0,0
498,27746.488,4,2,1,4,4,1,0,0
499,29582.137,4,2,3,3,2,2,0,0
500,13090.769,3,2,1,3,4,1,0,0
501,10409.086,2,2,3,3,4,1,1,0
502,30702.656,4,2,1,3,3,1,0,0
503,31593.598,5,3,3,2,3,2,0,1
504,30054.15,2,2,1,2,3,2,1,1
505,21555.621,2,2,3,3,4,1,1,0
506,16490.795,4,2,1,3,4,2,0,0
507,4282.3838,3,2,2,1,4,5,0,1
508,13577.597,2,2,2,2,3,1,1,1
509,7300.0884,1,1,2,3,4,1,1,0
510,18596.275,3,3,2,2,2,1,0,1
511,16258.698,2,1,1,1,2,1,1,1
512,32347.727,3,1,2,3,3,1,0,0
513,15923.669,2,2,2,3,2,1,1,0
514,10509.691,3,2,2,3,3,1,0,0
515,16302.766,1,1,2,3,4,1,1,0
516,21369.193,5,2,3,3,4,1,0,0
517,13704.39,3,2,2,3,3,1,0,0
518,10857.74,1,1,2,3,4,1,1,0
519,11248.127,3,3,2,3,4,1,0,0
520,19604.805,5,3,1,3,4,2,0,0
521,14305.094,2,1,2,3,3,1,1,0
522,23687.555,1,1,3,3,4,1,1,0
523,13294.827,3,2,2,2,3,1,0,1
524,11981.729,2,1,3,3,3,1,1,0
525,17530.783,3,3,2,3,2,1,0,0
526,21072.471,3,2,1,3,4,1,0,0
527,9731.6924,4,3,1,2,4,1,0,1
528,63360.102,3,1,4,3,2,1,0,0
529,17962.297,1,2,1,2,2,5,1,1
530,13150.606,3,1,2,2,3,1,0,1
531,32983.762,2,1,1,3,3,1,1,0
532,11471.384,1,2,3,3,4,3,1,0
533,16361.154,4,1,2,3,3,1,0,0
534,20050.471,2,2,2,3,2,1,1,0
535,10305.562,2,2,3,3,4,1,1,0
536,24124.51,3,2,3,2,3,1,0,1
537,15051.257,1,1,2,3,2,1,1,0
538,33954.664,4,2,1,3,2,2,0,0
539,27062.078,1,2,2,3,3,1,1,0
540,18597.457,2,1,2,2,3,1,1,1
541,21279.854,4,1,3,2,4,1,0,1
542,16142.563,4,2,1,2,4,1,0,1
543,17821.385,2,1,2,2,3,1,1,1
544,15280.206,3,2,2,3,2,1,0,0
545,31538.166,2,1,1,1,2,3,1,1
546,25574.168,3,3,3,3,4,2,0,0
548,21493.207,2,1,1,1,4,2,1,1
549,13855.225,3,2,3,3,3,1,0,0
550,11497.557,3,2,1,2,3,1,0,1
551,15973.375,5,3,1,3,3,1,0,0
552,16183.575,1,1,2,3,2,1,1,0
553,13758.002,3,2,2,3,3,1,0,0
554,9626.123,4,2,1,3,4,1,0,0
555,15321.62,3,2,1,2,4,1,0,1
556,23188.197,2,2,2,3,2,1,1,0
557,21722.529,4,2,2,2,3,1,0,1
558,8657.6523,3,3,2,2,4,1,0,1
559,16098.93,2,2,2,3,2,1,1,0
560,18800.219,2,2,2,3,2,1,1,0
561,20250.012,3,2,3,3,3,1,0,0
562,28993.613,3,2,1,3,4,1,0,0
563,34466.285,3,2,1,1,3,1,0,1
564,23137.725,3,1,1,3,2,1,0,0
565,24770.779,4,2,1,3,3,1,0,0
566,9019.4756,3,1,1,3,4,1,0,0
567,21500.721,3,3,3,3,3,3,0,0
568,22727.793,3,3,1,2,4,3,0,1
569,13374.158,2,1,1,1,3,1,1,1
570,17027.471,2,2,1,2,3,1,1,1
571,25301.729,4,3,2,3,2,2,0,0
572,40459.832,4,2,1,3,2,3,0,0
573,20450.977,1,1,1,3,3,1,1,0
574,10512.388,3,2,1,3,4,1,0,0
575,23515.465,3,1,4,3,4,2,0,0
576,19435.588,2,1,3,2,1,1,1,1
577,20481.783,5,3,2,4,4,1,0,0
578,13704.39,2,1,1,3,3,1,1,0
579,26275.279,3,2,1,3,2,1,0,0
580,16302.766,4,2,1,3,4,1,0,0
581,16302.766,3,3,2,2,4,1,0,1
582,14001.978,3,2,2,2,4,1,0,1
583,21579.211,2,1,2,3,4,1,1,0
584,13900.407,1,2,1,3,4,1,1,0
585,14140.936,3,3,1,3,4,1,0,0
586,18596.275,2,1,2,3,2,1,1,0
587,13863.274,1,1,1,3,3,1,1,0
588,12517.644,3,2,1,3,4,1,0,0
589,16361.793,3,2,3,3,3,1,0,0
590,11072.808,4,2,2,3,3,1,0,0
591,25979.756,3,1,1,1,4,1,0,1
592,11325.285,2,2,2,2,3,1,1,1
593,13090.769,4,1,2,3,4,1,0,0
594,29150.803,2,1,1,3,4,4,1,0
595,18800.219,4,2,3,5,2,1,0,0
596,11650.325,4,2,3,3,3,1,0,0
597,18746.375,1,1,1,3,2,1,1,0
598,13063.843,2,3,2,3,4,1,1,0
599,72675.266,4,2,2,3,1,4,0,0
600,36936.91,4,2,2,3,2,3,0,0
601,4767.0698,3,3,2,1,4,5,0,1
602,10352.221,1,2,2,3,3,1,1,0
603,20411.42,2,1,1,3,2,1,1,0
604,27062.078,2,2,2,2,3,1,1,1
605,16142.563,4,3,1,2,4,1,0,1
606,14457.357,3,1,4,3,3,3,0,0
607,11033.738,3,2,3,3,3,5,0,0
608,20929.551,3,3,2,2,2,1,0,1
609,16131.898,3,2,1,3,3,1,0,0
610,14007.173,3,2,1,3,3,1,0,0
